Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Quarter
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,1.45,15,0.49,183,1.66,0.54,22,34,49,7.97,-9999,1
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.25,14,0.29,104,0.56,0.29,27,40,26,7.9,-9999,2
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.25,5,0.25,66,0.75,0.18,15,96,17,7.9,-9999,3
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.26,12,0.28,132,0.32,0.05,18,36,33,8.0,-9999,4
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.15,5,0.13,48,0.28,0.08,9,14,15,7.4,-9999,1
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.62,6,0.22,57,0.58,0.05,5,11,14,7.6,-9999,2
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.1,11,0.23,117,0.05,0.05,20,15,0,7.83,-9999,3
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,4
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.27,15,0.49,247,1.51,0.1,19,13,51,8.17,-9999,1
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.25,8,0.32,173,0.23,0.1,22,11,36,8.04,-9999,2
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.15,5,0.16,86,0.05,0.08,10,15,20,7.8,-9999,3
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.1,5,0.24,215,0.15,0.05,16,20,48,8.09,-9999,4
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.15,20,0.34,170,0.14,0.08,28,26,43,8.6,-9999,1
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.25,23,0.31,182,1.6,-0.1,37,40,44,8.69,-9999,2
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.1,49,0.34,262,6.43,0.66,63,27,67,7.78,-9999,3
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.1,50,1.0,345,1.37,1.0,32,31,80,8.22,-9999,4
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,1
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,2
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,3
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,4
S-DENEYSVILLE,Final Effluent of Deneysville WWTW ,28.11176388888889,-26.88508055555555,6.22,56,0.34,105,9.8,2.86,35,59,46,7.38,14187,1
S-DENEYSVILLE,Final Effluent of Deneysville WWTW ,28.11176388888889,-26.88508055555555,11.48,41,0.24,139,5.97,3.45,45,64,55,7.36,6559,2
S-DENEYSVILLE,Final Effluent of Deneysville WWTW ,28.11176388888889,-26.88508055555555,3.6,35,0.18,92,13.0,3.3,37,35,46,7.4,120,3
S-DENEYSVILLE,Final Effluent of Deneysville WWTW ,28.11176388888889,-26.88508055555555,12.05,34,0.23,135,7.7,2.95,28,52,53,7.5,19914,4
S-FRANKFORT_NAMAHA,Final Effluent of Frankfort Namadi,28.49145,-27.26155,13.0,42,0.08,150,0.64,3.5,39,39,50,7.7,700,1
S-FRANKFORT_NAMAHA,Final Effluent of Frankfort Namadi,28.49145,-27.26155,23.0,35,0.17,189,2.65,3.95,42,55,58,7.36,54148,2
S-FRANKFORT_NAMAHA,Final Effluent of Frankfort Namadi,28.49145,-27.26155,14.9,32,0.075,160,3.3,3.43,34,112,55,7.63,1681,3
S-FRANKFORT_NAMAHA,Final Effluent of Frankfort Namadi,28.49145,-27.26155,11.13,32,0.4,139,3.38,3.25,32,66,49,7.72,118,4
S-FRANKFORT_OXI_P,Final Effluent of Frankfort Oxidation Ponds,28.48800833333333,-27.29095555555556,9.4,63,0.29,175,0.21,4.0,42,100,69,8.1,730,1
S-FRANKFORT_OXI_P,Final Effluent of Frankfort Oxidation Ponds,28.48800833333333,-27.29095555555556,3.75,74,0.43,208,0.55,3.53,67,76,79,7.79,628,2
S-FRANKFORT_OXI_P,Final Effluent of Frankfort Oxidation Ponds,28.48800833333333,-27.29095555555556,8.8,67,0.28,202,4.51,3.92,40,91,75,7.82,203,3
S-FRANKFORT_OXI_P,Final Effluent of Frankfort Oxidation Ponds,28.48800833333333,-27.29095555555556,8.43,79,0.28,181,0.3,4.6,38,122,71,8.45,1448,4
S-ORANJEVILLE,Final Effluent of Oranjeville WWTW,28.20992222222222,-26.97973888888889,4.4,30,0.12,95,6.0,2.9,28,33,40,7.4,-9999,1
S-ORANJEVILLE,Final Effluent of Oranjeville WWTW,28.20992222222222,-26.97973888888889,19.5,35,0.22,139,5.21,3.48,36,77,52,7.37,-9999,2
S-ORANJEVILLE,Final Effluent of Oranjeville WWTW,28.20992222222222,-26.97973888888889,13.14,36,0.27,103,28.94,3.93,37,57,48,7.37,-9999,3
S-ORANJEVILLE,Final Effluent of Oranjeville WWTW,28.20992222222222,-26.97973888888889,9.26,26,0.8,92,10.03,3.55,20,38,43,7.2,270987,4
S-ST_NEW,Standerton Sewage Works,29.23135277777778,-26.9735,7.6,48,0.17,140,1.4,2.8,51,38,60,7.4,24,1
S-ST_NEW,Standerton Sewage Works,29.23135277777778,-26.9735,0.2,43,0.3,88,6.14,0.7,67,57,60,7.48,513,2
S-ST_NEW,Standerton Sewage Works,29.23135277777778,-26.9735,13.3,40,0.58,212,12.0,3.03,54,329,68,7.46,675672,3
S-ST_NEW,Standerton Sewage Works,29.23135277777778,-26.9735,7.0,38,0.36,133,3.23,2.37,62,38,52,7.21,5163,4
S-VAAL-MARINA,Final Effluent of Vaal Marina WWTW ,28.21402777777778,-26.88870833333334,0.36,54,0.34,71,12.96,1.63,48,22,54,7.62,912,1
S-VAAL-MARINA,Final Effluent of Vaal Marina WWTW ,28.21402777777778,-26.88870833333334,15.15,37,0.23,143,5.44,2.33,34,30,53,7.74,847,2
S-VAAL-MARINA,Final Effluent of Vaal Marina WWTW ,28.21402777777778,-26.88870833333334,0.25,35,0.28,120,5.8,0.85,45,22,48,7.7,18,3
S-VAAL-MARINA,Final Effluent of Vaal Marina WWTW ,28.21402777777778,-26.88870833333334,0.25,32,0.26,70,16.47,2.53,36,24,48,7.57,33,4
S-VILLERS,Final Effluent of Villiers WWTW,28.58941388888889,-27.03178611111111,26.0,38,0.28,307,2.3,4.05,34,231,97,7.68,-9999,1
S-VILLERS,Final Effluent of Villiers WWTW,28.58941388888889,-27.03178611111111,11.0,63,0.35,195,5.0,4.0,48,125,73,7.6,-9999,2
S-VILLERS,Final Effluent of Villiers WWTW,28.58941388888889,-27.03178611111111,27.0,49,0.35,269,0.14,4.32,53,126,85,7.48,-9999,3
S-VILLERS,Final Effluent of Villiers WWTW,28.58941388888889,-27.03178611111111,2.73,23,0.5,143,1.02,33.85,47,23,49,7.79,1204,4
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.25,5,0.18,65,0.26,0.12,17,10,18,8.0,4,1
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.25,7,0.19,69,0.19,0.1,16,14,18,7.77,46,2
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,9.2,5,0.24,70,3.57,0.8,20,18,20,7.86,9,3
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.25,5,0.3,67,0.39,0.5,47,14,20,8.02,8,4
VD2I,Vaal Dam 2 Integrated - Confluence of Vaal & Wilge,28.18608888888889,-26.89689166666667,0.4,5,0.16,69,0.05,0.13,16,13,18,8.0,1,1
VD2I,Vaal Dam 2 Integrated - Confluence of Vaal & Wilge,28.18608888888889,-26.89689166666667,0.25,7,0.19,70,0.22,0.1,16,12,18,7.82,0,2
VD2I,Vaal Dam 2 Integrated - Confluence of Vaal & Wilge,28.18608888888889,-26.89689166666667,0.1,6,0.24,67,0.22,0.1,17,20,19,7.87,2,3
VD2I,Vaal Dam 2 Integrated - Confluence of Vaal & Wilge,28.18608888888889,-26.89689166666667,0.78,4,0.48,62,0.31,0.24,11,13,22,7.3,3,4
VD3I,Vaal Dam 3 Integrated - Wilge River downstream of Oranjeville ,28.22363333333333,-26.98378888888889,0.25,5,0.16,61,0.22,0.23,11,11,15,7.74,5,1
VD3I,Vaal Dam 3 Integrated - Wilge River downstream of Oranjeville ,28.22363333333333,-26.98378888888889,0.33,3,0.23,59,15.58,0.1,17,18,15,7.57,18,2
VD3I,Vaal Dam 3 Integrated - Wilge River downstream of Oranjeville ,28.22363333333333,-26.98378888888889,0.41,5,0.08,60,0.05,0.1,12,12,15,8.0,3,3
VD3I,Vaal Dam 3 Integrated - Wilge River downstream of Oranjeville ,28.22363333333333,-26.98378888888889,1.47,12,0.61,57,0.19,0.23,8,16,14,7.96,9,4
VD4I,,28.25004444444444,-26.89110833333333,0.25,12,0.28,105,0.12,0.13,30,19,29,8.3,4,1
VD4I,,28.25004444444444,-26.89110833333333,0.1,5,0.27,80,0.51,0.1,21,26,22,7.9,1,2
VD4I,,28.25004444444444,-26.89110833333333,2.0,8,0.45,89,0.19,0.46,19,20,24,7.95,4,3
VD4I,,28.25004444444444,-26.89110833333333,3.4,14,0.26,101,0.12,0.1,29,17,27,8.07,1,4
VDS,Vaal River downstream of Standerton,29.02480555555556,-27.01554722222222,0.25,17,0.28,145,1.4,0.1,40,23,39,7.75,-9999,1
VDS,Vaal River downstream of Standerton,29.02480555555556,-27.01554722222222,0.1,23,0.26,118,0.5,0.25,42,21,34,7.76,-9999,2
VDS,Vaal River downstream of Standerton,29.02480555555556,-27.01554722222222,0.25,20,0.48,110,2.0,0.1,37,21,32,7.55,-9999,3
VDS,Vaal River downstream of Standerton,29.02480555555556,-27.01554722222222,0.15,5,0.23,105,0.28,0.08,16,20,28,7.8,-9999,4
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.25,12,0.31,145,0.56,0.1,33,21,42,7.99,-9999,1
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,1.3,15,0.4,143,0.41,0.1,40,31,39,8.06,-9999,2
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.1,16,0.29,128,0.49,0.1,36,23,38,8.07,-9999,3
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.25,5,0.3,105,0.18,0.35,19,18,27,7.8,-9999,4
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,1
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,0.1,15,32.0,190,4.2,0.1,41,15,47,3.55,-9999,2
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,0.25,9,0.26,178,0.18,0.1,35,13,40,8.35,-9999,3
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,0.43,5,0.28,115,0.68,18.0,14,30,16,8.0,-9999,4
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.31,22,0.32,141,0.25,0.1,36,21,40,8.27,490,1
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,2.73,23,0.5,143,1.02,-9999.0,47,23,49,7.79,1204,2
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.25,18,0.4,140,0.32,0.2,34,23,36,8.14,23962,3
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.25,5,0.31,100,0.83,0.18,23,21,27,7.8,140,4
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,0.25,5,0.11,52,0.53,0.15,9,14,13,7.5,720,1
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,3.4,4,0.24,47,0.34,0.84,10,11,11,7.6,524,2
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,0.1,4,0.22,43,0.69,0.1,8,18,12,7.49,126,3
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,2.0,1,0.95,68,0.3,0.1,6,22,16,7.65,190,4
