Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Key ,Quarter
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.24,10,0.32,68,0.25,0.2,18,43,26,7.3,-9999,-9999,1
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.12,14,0.44,105,0.56,0.125,21,40,27,7.8,-9999,-9999,2
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.32,8,0.3,80,0.62,0.34,16,41,20,7.5,-9999,-9999,3
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.1,19,0.56,138,0.25,0.125,51,43,55,8.1,-9999,-9999,4
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.13,8,0.31,50,0.25,0.27,13,28,12,7.5,-9999,-9999,1
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,-9999,2
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.03,12,0.1,183,0.25,0.125,17,5,40,8.2,-9999,-9999,3
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.3,11,0.26,88,0.25,0.05,17,14,47,7.6,-9999,-9999,4
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.1,10,0.25,93,0.25,0.13,17,21,26,7.8,-9999,-9999,1
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.06,7,0.39,61,0.62,0.125,13,30,14,7.6,-9999,-9999,2
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.03,19,0.49,102,3.9,0.125,46,18,39,7.5,-9999,-9999,3
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.07,12,0.1,157,0.25,0.125,19,17,37,8.1,-9999,-9999,4
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.08,84,0.41,363,0.25,0.52,44,40,93,8.8,-9999,-9999,1
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.31,63,0.7,197,1.14,0.6,49,37,58,8.1,-9999,-9999,2
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.11,33,0.45,237,1.9,0.94,35,30,56,8.0,-9999,-9999,3
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.14,69,0.57,133,0.62,2.9,45,27,35,7.9,-9999,-9999,4
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.08,4,0.28,52,0.25,0.51,10,28,12,7.3,-9999,-9999,1
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,-9999,2
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,-9999,3
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.05,9,0.2,54,0.25,0.1,21,33,21,7.3,-9999,-9999,4
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.19,9,0.28,71,0.69,0.125,24,17,27,7.8,9,-9999,1
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.05,9,0.36,67,0.54,0.125,26,18,22,7.9,2,-9999,2
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.08,12,0.33,62,0.94,0.125,21,13,19,7.9,2,-9999,3
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.21,7,0.27,56,0.25,0.05,20,12,18,7.8,86,-9999,4
VD2I,Vaal Dam 2 Integrated - Confluence of Vaal & Wilge,28.18608888888889,-26.89689166666667,0.19,7,0.25,53,0.25,0.05,16,12,16,7.7,6,-9999,1
