Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Quarter
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.12,5,0.12,110,0.42,0.025,14.0,17,12,6.9,-9999,1
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.12,5,0.16,44,0.05,0.12,9.0,19,17,7.0,-9999,2
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.1,5,0.16,54,0.05,0.42,14.0,14,18,6.9,-9999,3
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.12,5,0.15,61,0.05,0.06,2.5,5,15,7.5,-9999,4
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.12,5,0.25,195,0.27,0.025,17.0,5,43,8.1,-9999,1
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.33,11,0.3,170,0.26,0.1,27.0,12,41,7.8,-9999,2
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.12,5,0.29,74,0.25,0.15,22.0,23,26,7.1,-9999,3
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.12,5,0.21,93,0.05,0.025,14.0,17,24,7.1,-9999,4
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.12,42,0.31,265,0.7,0.25,44.0,22,71,8.7,-9999,1
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.1,34,0.28,225,0.42,0.16,44.0,49,58,8.9,-9999,2
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.12,11,0.27,110,0.21,0.025,47.0,35,54,7.9,-9999,3
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.12,15,0.27,185,0.51,0.025,33.0,27,48,7.7,-9999,4
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.32,12,0.2,90,0.95,0.27,43.0,20,21,7.0,-9999,1
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.12,5,0.18,55,1.9,0.025,8.0,18,16,6.6,-9999,2
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.12,5,0.18,115,0.34,0.025,7.0,5,26,7.6,-9999,3
KW,Klip @ Winkelhaak ,29.399975,-27.244875,4.1,5,0.2,100,1.0,0.59,22.0,14,26,7.3,-9999,4
S-ST_NEW,Standerton Point Description,29.23135277777778,-26.9735,24.0,45,0.31,405,2.7,4.8,30.0,245,65,6.8,5295000,1
S-ST_NEW,Standerton Point Description,29.23135277777778,-26.9735,18.0,42,0.38,265,0.43,3.4,50.0,285,7,7.0,7538870,2
S-ST_NEW,Standerton Point Description,29.23135277777778,-26.9735,30.0,40,0.48,240,0.18,4.0,31.0,170,75,6.9,5395670,3
S-ST_NEW,Standerton Point Description,29.23135277777778,-26.9735,23.0,42,0.21,260,0.22,3.4,48.0,175,78,7.5,5291800,4
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.12,5,0.37,130,2.4,0.025,30.0,17,20,6.9,50,1
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.12,5,0.22,82,0.12,0.025,25.0,5,21,7.3,10,2
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.1,5,0.2,78,0.14,0.025,46.0,15,21,7.2,30,3
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.11,5,0.2,81,0.05,0.025,21.0,5,32,7.5,98,4
VD2I,Vaal Dam 2 Integrated - Confluence of Vaal & Wilge,28.18608888888889,-26.89689166666667,0.12,5,0.66,135,0.19,0.025,23.0,18,20,6.9,1,1
VD2I,Vaal Dam 2 Integrated - Confluence of Vaal & Wilge,28.18608888888889,-26.89689166666667,0.12,5,0.17,82,0.11,0.025,25.0,5,21,7.3,1,2
VD2I,Vaal Dam 2 Integrated - Confluence of Vaal & Wilge,28.18608888888889,-26.89689166666667,0.1,5,0.21,80,0.13,0.025,31.0,5,33,7.5,5,3
VD2I,Vaal Dam 2 Integrated - Confluence of Vaal & Wilge,28.18608888888889,-26.89689166666667,0.1,5,0.18,77,0.1,0.025,21.0,14,19,7.2,1,4
VD3I,Vaal Dam 3 Integrated - Wilge River downstream of Oranjeville ,28.22363333333333,-26.98378888888889,0.1,5,0.23,60,0.17,0.17,25.0,5,26,7.3,12,1
VD3I,Vaal Dam 3 Integrated - Wilge River downstream of Oranjeville ,28.22363333333333,-26.98378888888889,0.1,5,0.16,66,0.48,0.025,25.0,14,17,7.2,2,2
VD3I,Vaal Dam 3 Integrated - Wilge River downstream of Oranjeville ,28.22363333333333,-26.98378888888889,0.12,5,0.15,71,0.34,0.07,16.0,11,18,7.3,1,3
